id	time	stream	text	context	notes
348	2019-10-08 13:20:04.66	DM->CMD	"done"	None	None
349	2019-10-08 13:19:51.19	CMD	"can you go through that doorway"	None	None
350	2019-10-08 13:20:14.45	DM->RN	" move into room"	None	None
351	2019-10-08 13:20:14.46	DM->CMD	"I will try to move into room."	None	None
352	2019-10-08 13:20:17.09	RN	" moving. . ."	None	None
353	2019-10-08 13:20:17.15	DM->CMD	"moving. . ."	None	None
354	2019-10-08 13:20:33.32	RN	" done"	None	None
355	2019-10-08 13:20:33.34	DM->CMD	"done"	None	None
356	2019-10-08 13:20:14.17	CMD	"take a picture"	None	None
357	2019-10-08 13:20:36.64	DM->RN	" send image"	None	None
358	2019-10-08 13:20:36.65	DM->CMD	"I will send image."	None	None
i014	2019-10-08 13:19:51.02	IMAGE	"frame014"	None	None
359	2019-10-08 13:20:39.04	RN	" sent"	None	None
360	2019-10-08 13:20:39.07	DM->CMD	"sent"	None	None
361	2019-10-08 13:20:26.33	CMD	"is that a box"	None	None
362	2019-10-08 13:20:49.15	DM->RN	" move forward 50"	None	None
363	2019-10-08 13:20:49.15	DM->CMD	"I will move forward 50."	None	None
364	2019-10-08 13:20:31.14	CMD	"no don't do that"	None	None
365	2019-10-08 13:20:53.84	DM->RN	" move into room on left"	None	None
366	2019-10-08 13:20:53.85	DM->CMD	"I will try to move into room on left."	None	None
367	2019-10-08 13:20:34.17	CMD	"yes do that"	None	None
368	2019-10-08 13:20:56.95	DM->RN	" yes"	None	None
369	2019-10-08 13:20:56.95	DM->CMD	"Processing...."	None	None
370	2019-10-08 13:21:03.54	RN	" Can you rephrase that? <beep>"	None	None
371	2019-10-08 13:21:03.55	DM->CMD	"Can you rephrase that? <beep>"	None	None
372	2019-10-08 13:20:44.31	CMD	"move into the room on the left"	None	None
373	2019-10-08 13:21:07.41	DM->RN	" move into room"	None	None
374	2019-10-08 13:21:07.45	DM->CMD	"I will try to move into room."	None	None
375	2019-10-08 13:21:14.06	RN	" Can you describe it another way? <beep>"	None	None
376	2019-10-08 13:21:14.06	DM->CMD	"Can you describe it another way? <beep>"	None	None
377	2019-10-08 13:20:58.47	CMD	"backup five feet"	None	None
378	2019-10-08 13:21:22.95	DM->RN	" turn left 150 degrees"	None	None
379	2019-10-08 13:21:22.95	DM->CMD	"I will turn left 150 degrees."	None	None
380	2019-10-08 13:21:24.91	RN	" turning. . ."	None	None
381	2019-10-08 13:21:24.96	DM->CMD	"turning. . ."	None	None
382	2019-10-08 13:21:04.26	CMD	"don't turn"	None	None
383	2019-10-08 13:21:04.26	CMD	"stop"	None	None
384	2019-10-08 13:21:06.00	CMD	"cancel"	None	None
385	2019-10-08 13:21:06.47	CMD	"cancel"	None	None
386	2019-10-08 13:21:28.66	DM->RN	" cancel command"	None	None
387	2019-10-08 13:21:28.70	DM->CMD	"Processing...."	None	None
388	2019-10-08 13:21:31.68	RN	" done"	None	None
389	2019-10-08 13:21:31.70	DM->CMD	"done"	None	None
390	2019-10-08 13:21:12.55	CMD	"backup five feet"	None	None
391	2019-10-08 13:21:35.86	DM->RN	" turn left 150 degrees"	None	None
392	2019-10-08 13:21:35.90	DM->CMD	"I will turn left 150 degrees."	None	None
393	2019-10-08 13:21:16.49	CMD	"cancel"	None	None
394	2019-10-08 13:21:39.11	DM->RN	" cancel command"	None	None
395	2019-10-08 13:21:39.14	DM->CMD	"Processing...."	None	None
396	2019-10-08 13:21:22.65	CMD	"back up two feet"	None	None
397	2019-10-08 13:21:45.90	DM->RN	" move back 2 feet"	None	None
398	2019-10-08 13:21:45.91	DM->CMD	"I will move back 2 feet."	None	None
399	2019-10-08 13:21:49.72	RN	" moving. . ."	None	None
400	2019-10-08 13:21:49.83	DM->CMD	"moving. . ."	None	None
401	2019-10-08 13:21:55.71	RN	" done"	None	None
402	2019-10-08 13:21:55.87	DM->CMD	"done"	None	None
403	2019-10-08 13:21:37.64	CMD	"take a picture"	None	None
404	2019-10-08 13:21:59.95	DM->RN	" send image"	None	None
405	2019-10-08 13:21:59.95	DM->CMD	"I will send image."	None	None
i015	2019-10-08 13:21:12.97	IMAGE	"frame015"	None	None
406	2019-10-08 13:22:02.61	RN	" sent"	None	None
407	2019-10-08 13:22:02.63	DM->CMD	"sent"	None	None
408	2019-10-08 13:21:47.73	CMD	"can you get through that doorway"	None	None
409	2019-10-08 13:22:11.40	DM->RN	" move to doorway"	None	None
410	2019-10-08 13:22:11.40	DM->CMD	"I will move to doorway."	None	None
411	2019-10-08 13:22:15.70	RN	" moving. . ."	None	None
412	2019-10-08 13:22:15.74	DM->CMD	"moving. . ."	None	None
413	2019-10-08 13:22:23.50	RN	" done"	None	None
414	2019-10-08 13:22:23.62	DM->CMD	"done"	None	None
415	2019-10-08 13:22:15.14	CMD	"take a picture"	None	None
416	2019-10-08 13:22:37.54	DM->RN	" send image"	None	None
417	2019-10-08 13:22:37.55	DM->CMD	"I will send image."	None	None
i016	2019-10-08 13:21:50.44	IMAGE	"frame016"	None	None
418	2019-10-08 13:22:40.42	RN	" sent"	None	None
419	2019-10-08 13:22:40.52	DM->CMD	"sent"	None	None
420	2019-10-08 13:22:24.61	CMD	"go somewhere cool"	None	None
421	2019-10-08 13:22:47.60	DM->CMD	"Can you repeat that? <beep>"	None	None
422	2019-10-08 13:22:31.51	CMD	"can you find another doorway"	None	None
423	2019-10-08 13:22:54.85	DM->RN	" move to doorway"	None	None
424	2019-10-08 13:22:54.85	DM->CMD	"I will move to doorway."	None	None
425	2019-10-08 13:23:03.99	RN	" done"	None	None
426	2019-10-08 13:23:04.17	DM->CMD	"done"	None	None
427	2019-10-08 13:22:45.61	CMD	"take a picture"	None	None
428	2019-10-08 13:23:08.31	DM->RN	" send image"	None	None
429	2019-10-08 13:23:08.35	DM->CMD	"I will send image."	None	None
i017	2019-10-08 13:22:20.38	IMAGE	"frame017"	None	None
430	2019-10-08 13:23:11.20	RN	" sent"	None	None
431	2019-10-08 13:23:11.24	DM->CMD	"sent"	None	None
432	2019-10-08 13:22:54.98	CMD	"can you fit through the doorway"	None	None
433	2019-10-08 13:23:18.55	DM->RN	" move into room"	None	None
434	2019-10-08 13:23:18.56	DM->CMD	"I will try to move into room."	None	None
435	2019-10-08 13:23:23.12	RN	" There's an obstruction preventing me from doing that. <beep>"	None	None
436	2019-10-08 13:23:23.12	DM->CMD	"There's an obstruction preventing me from doing that. <beep>"	None	None
437	2019-10-08 13:23:06.66	CMD	"go backwards four feet"	None	None
438	2019-10-08 13:23:31.26	DM->RN	" move back 2 feet"	None	None
439	2019-10-08 13:23:31.29	DM->CMD	"I will move back 2 feet."	None	None
440	2019-10-08 13:23:34.68	RN	" moving. . ."	None	None
441	2019-10-08 13:23:34.79	DM->CMD	"moving. . ."	None	None
442	2019-10-08 13:23:40.64	RN	" done"	None	None
443	2019-10-08 13:23:40.73	DM->CMD	"done"	None	None
444	2019-10-08 13:23:27.22	CMD	"turn ninety degrees left"	None	None
445	2019-10-08 13:23:51.50	DM->CMD	"I will turn left 95 degrees."	None	None
446	2019-10-08 13:23:54.35	RN	" turning. . ."	None	None
447	2019-10-08 13:23:54.45	DM->CMD	"turning. . ."	None	None
448	2019-10-08 13:23:44.17	CMD	"cancel"	None	None
449	2019-10-08 13:24:06.41	DM->RN	" cancel command"	None	None
450	2019-10-08 13:24:06.45	DM->CMD	"Processing...."	None	None
451	2019-10-08 13:24:08.23	RN	" done"	None	None
452	2019-10-08 13:24:08.27	DM->CMD	"done"	None	None
453	2019-10-08 13:23:48.55	CMD	"take a picture"	None	None
454	2019-10-08 13:24:11.05	DM->RN	" send image"	None	None
455	2019-10-08 13:24:11.09	DM->CMD	"I will send image."	None	None
i018	2019-10-08 13:23:22.12	IMAGE	"frame018"	None	None
456	2019-10-08 13:24:13.34	RN	" sent"	None	None
457	2019-10-08 13:24:13.40	DM->CMD	"sent"	None	None
458	2019-10-08 13:24:01.57	CMD	"move forward twelve feet"	None	None
459	2019-10-08 13:24:25.30	DM->RN	" move forward 12 feet"	None	None
460	2019-10-08 13:24:25.31	DM->CMD	"I will try to move forward 12 feet."	None	None
461	2019-10-08 13:24:27.03	RN	" moving. . ."	None	None
462	2019-10-08 13:24:27.04	DM->CMD	"moving. . ."	None	None
463	2019-10-08 13:24:44.45	RN	" done"	None	None
464	2019-10-08 13:24:44.52	DM->CMD	"done"	None	None
465	2019-10-08 13:24:30.17	CMD	"take a picture"	None	None
466	2019-10-08 13:24:52.59	DM->RN	" send image"	None	None
467	2019-10-08 13:24:52.60	DM->CMD	"I will send image."	None	None
i019	2019-10-08 13:24:03.44	IMAGE	"frame019"	None	None
468	2019-10-08 13:24:55.33	RN	" sent"	None	None
469	2019-10-08 13:24:55.38	DM->CMD	"sent"	None	None
470	2019-10-08 13:24:36.34	CMD	"turn right forty five degrees"	None	None
471	2019-10-08 13:25:00.00	DM->RN	" turn right 45 degrees"	None	None
472	2019-10-08 13:25:00.00	DM->CMD	"I will turn right 45 degrees."	None	None
473	2019-10-08 13:25:02.09	RN	" turning. . ."	None	None
474	2019-10-08 13:25:02.14	DM->CMD	"turning. . ."	None	None
475	2019-10-08 13:25:09.28	RN	" done"	None	None
476	2019-10-08 13:25:09.31	DM->CMD	"done"	None	None
477	2019-10-08 13:24:48.50	CMD	"take a picture"	None	None
478	2019-10-08 13:25:11.20	DM->RN	" send image"	None	None
479	2019-10-08 13:25:11.20	DM->CMD	"I will send image."	None	None
i020	2019-10-08 13:24:21.30	IMAGE	"frame020"	None	None
