id	time	stream	text	context	notes
189	2018-09-10 14:30:25.26	DM->CMD	"sent"	lidar73	None
190	2018-09-10 14:30:28.61	CMD	"go south <pause .26> five feet"	None	None
191	2018-09-10 14:30:37.88	DM->CMD	"processing. . ."	lidar74	None
192	2018-09-10 14:30:41.31	DM->RN	"turn to face South"	None	None
193	2018-09-10 14:30:48.17	DM->RN	"then. . ."	None	None
194	2018-09-10 14:30:56.05	DM->RN	"move forward 5 feet"	None	None
195	2018-09-10 14:30:57.23	RN	"into the room"	None	None
196	2018-09-10 14:31:10.90	RN	"done"	None	None
197	2018-09-10 14:31:13.17	DM->CMD	"done"	lidar75	None
198	2018-09-10 14:31:13.60	CMD	"take a photo"	None	None
199	2018-09-10 14:31:16.92	DM->RN	"send image"	None	None
i010	2018-09-10 14:31:10.14	IMAGE	"frame010"	None	None
200	2018-09-10 14:31:17.57	RN	"sent"	None	None
201	2018-09-10 14:31:18.88	DM->CMD	"sent"	lidar76	None
202	2018-09-10 14:31:38.18	CMD	"go south <pause .44> five feet"	None	None
203	2018-09-10 14:31:44.35	DM->CMD	"processing. . ."	lidar77	None
204	2018-09-10 14:31:50.05	DM->RN	"move forward 5 feet"	None	None
205	2018-09-10 14:31:53.62	DM->CMD	"moving. . ."	lidar78	None
206	2018-09-10 14:32:01.16	RN	"done"	None	None
207	2018-09-10 14:32:02.23	DM->CMD	"done"	lidar79	None
208	2018-09-10 14:32:08.62	CMD	"go through the nearest doorway"	None	None
209	2018-09-10 14:32:17.03	DM->CMD	"Do you mean the one on the right?  <beep>"	lidar80	None
210	2018-09-10 14:32:18.68	CMD	"yes"	None	None
211	2018-09-10 14:32:21.16	DM->CMD	"ok"	lidar81	None
212	2018-09-10 14:32:24.88	DM->RN	"move into TV hallway"	None	None
213	2018-09-10 14:32:28.96	DM->CMD	"executing. . ."	lidar82	None
214	2018-09-10 14:32:39.35	RN	"done"	None	None
215	2018-09-10 14:32:39.74	CMD	"ta<disfl> take a photo"	None	None
216	2018-09-10 14:32:40.43	DM->CMD	"done"	lidar83	None
217	2018-09-10 14:32:43.22	DM->RN	"send image"	None	None
i011	2018-09-10 14:32:35.24	IMAGE	"frame011"	None	None
218	2018-09-10 14:32:43.98	RN	"sent"	None	None
219	2018-09-10 14:32:44.86	DM->CMD	"sent"	lidar84	None
220	2018-09-10 14:32:53.94	CMD	"go towards the nearest objects"	None	None
221	2018-09-10 14:33:07.00	DM->CMD	"I see objects all around me; I need your help to decide which are important. <beep>"	lidar85	None
222	2018-09-10 14:33:09.75	CMD	"<notification sound>"	None	None
223	2018-09-10 14:33:10.28	DM->CMD	"If you describe an object, you can help me locate it.  <beep>"	lidar86	None
224	2018-09-10 14:33:10.36	CMD	"<no speech>"	None	None
225	2018-09-10 14:33:12.30	CMD	"the objects uh directly ahead of you"	None	None
226	2018-09-10 14:33:31.28	CMD	"go to the objects uh towards the cone"	None	None
227	2018-09-10 14:33:32.83	DM->CMD	"I don't see any object directly ahead."	lidar87	None
228	2018-09-10 14:33:42.17	CMD	"<notification sound>"	None	None
229	2018-09-10 14:33:42.70	DM->CMD	"The one directly to my right, or ahead and to the right?  <beep>"	lidar88	None
230	2018-09-10 14:33:43.30	CMD	"<no speech>"	None	None
231	2018-09-10 14:33:44.88	CMD	"ahead to y<disfl> to your right"	None	None
232	2018-09-10 14:33:48.22	DM->CMD	"ok"	lidar89	None
233	2018-09-10 14:34:02.37	DM->RN	"move into Construction room"	None	None
234	2018-09-10 14:34:10.09	DM->RN	"move to easel with hardhats"	None	None
235	2018-09-10 14:34:29.84	RN	"done"	None	None
236	2018-09-10 14:34:30.90	DM->CMD	"done"	lidar90	None
237	2018-09-10 14:34:32.39	CMD	"take a photo"	None	None
238	2018-09-10 14:34:35.35	DM->RN	"send image"	None	None
i012	2018-09-10 14:34:25.57	IMAGE	"frame012"	None	None
239	2018-09-10 14:34:35.95	RN	"sent"	None	None
240	2018-09-10 14:34:36.68	DM->CMD	"sent"	lidar91	None
241	2018-09-10 14:35:04.07	CMD	"go west"	None	None
242	2018-09-10 14:35:08.11	DM->RN	"turn to face West"	None	None
243	2018-09-10 14:35:14.43	DM->CMD	"I will turn to face West"	lidar92	None
244	2018-09-10 14:35:18.90	RN	"done"	None	None
245	2018-09-10 14:35:20.03	DM->CMD	"done"	lidar93	None
246	2018-09-10 14:35:22.92	CMD	"<no speech>"	None	None
247	2018-09-10 14:35:24.32	CMD	"three feet go go west three feet"	None	None
248	2018-09-10 14:35:29.82	DM->CMD	"ok"	lidar94	None
249	2018-09-10 14:35:31.48	DM->RN	"move forward 3 feet"	None	None
250	2018-09-10 14:35:38.06	RN	"done"	None	None
251	2018-09-10 14:35:39.11	DM->CMD	"done"	lidar95	None
252	2018-09-10 14:35:39.14	CMD	"<no speech>"	None	None
253	2018-09-10 14:35:39.93	CMD	"take a photo"	None	None
254	2018-09-10 14:35:41.48	DM->RN	"send image"	None	None
i013	2018-09-10 14:35:31.04	IMAGE	"frame013"	None	None
255	2018-09-10 14:35:42.34	RN	"sent"	None	None
256	2018-09-10 14:35:42.93	DM->CMD	"sent"	lidar96	None
257	2018-09-10 14:35:53.26	CMD	"<no speech>"	None	None
258	2018-09-10 14:35:54.20	CMD	"turn around a hundred eighty degrees"	None	None
259	2018-09-10 14:35:57.68	DM->RN	"turn 180"	None	None
260	2018-09-10 14:35:59.99	DM->CMD	"I will turn around 180 degrees"	lidar97	None
261	2018-09-10 14:36:15.38	RN	"done"	None	None
262	2018-09-10 14:36:16.41	DM->CMD	"done"	lidar98	None
263	2018-09-10 14:36:20.02	CMD	"go s<disfl> go south"	None	None
264	2018-09-10 14:36:24.49	CMD	"<no speech>"	None	None
265	2018-09-10 14:36:24.72	DM->CMD	"ok"	lidar99	None
266	2018-09-10 14:36:26.09	CMD	"five feet "	None	None
267	2018-09-10 14:36:26.71	CMD	"go south five feet"	None	None
268	2018-09-10 14:36:29.60	DM->RN	"turn to face South"	None	None
269	2018-09-10 14:36:40.63	RN	"done"	None	None
270	2018-09-10 14:36:40.90	DM->CMD	"I'm not sure if I can move that far forward.  <beep>"	lidar100	None
271	2018-09-10 14:36:44.07	CMD	"go as far as you could go"	None	None
272	2018-09-10 14:36:45.14	DM->CMD	"done"	lidar101	None
273	2018-09-10 14:36:49.41	DM->CMD	"ok"	lidar102	None
274	2018-09-10 14:37:01.46	DM->RN	"move to front wall ahead"	None	None
275	2018-09-10 14:37:04.76	DM->CMD	"moving. . ."	lidar103	None
276	2018-09-10 14:37:08.02	RN	"done"	None	None
277	2018-09-10 14:37:08.99	DM->CMD	"done"	lidar104	None
278	2018-09-10 14:37:12.75	CMD	"go through the nearest doorway"	None	None
279	2018-09-10 14:37:19.62	DM->CMD	"Do you mean the one on the left?  <beep>"	lidar105	None
280	2018-09-10 14:37:20.25	CMD	"yes"	None	None
281	2018-09-10 14:37:22.51	DM->CMD	"ok"	lidar106	None
282	2018-09-10 14:37:26.81	DM->RN	"move into Office hallway"	None	None
283	2018-09-10 14:37:42.98	CMD	"<X: xxx so how many doorways were there>"	None	None
284	2018-09-10 14:37:46.19	RN	"done"	None	None
285	2018-09-10 14:37:46.37	DM->CMD	"done"	lidar107	None
286	2018-09-10 14:37:46.41	CMD	"three"	None	None
287	2018-09-10 14:37:46.82	CMD	"<no speech>"	None	None
288	2018-09-10 14:37:47.28	CMD	"<X: and how many shoes were there>"	None	None
289	2018-09-10 14:37:48.97	CMD	"one"	None	None
290	2018-09-10 14:37:49.44	CMD	"<no speech>"	None	None
291	2018-09-10 14:37:50.14	CMD	"<X: and do you think there is anything that indicates the environment has been recently occupied>"	None	None
292	2018-09-10 14:37:53.79	CMD	"yes"	None	None
293	2018-09-10 14:37:54.34	CMD	"<no speech>"	None	None
